title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Âme-en-peine";"-";"16";"-";"14";"14";"21";"+4";"+6";"+6";"+7";"47 (5d8+25)";"18, contact 18, pris au depourvu 14 (dex +3, parade +5)";"1.600";"vol 18 m (12 c) (bonne)";"";;"contact intangible +6 (1d6 energie negative et diminution permanente 1d6 con)";;"creation de rejetons";"attaques reflexes, combat en aveugle, science de l'initiative";"connaissances (plans) +7, diplomatie +10, discretion +11, intimidation +13, perception +10, psychologie +10, vol +7";;"perception de la vie, vision dans le noir 18 m (12 c) ; perception +10";"commun, infernal";"quelconque";"aucun";"solitaire, couple, bande (3-6) ou meute (7-12)";"+3";"+6";"21";"* Source : Bestiaire p.10
* Mort-vivant (intangible) de taille M, LM";"* capacites defensives : intangible, resistance a la canalisation +2
* aura surnaturelle : les animaux ne s'approchent pas a moins de 9 metres (6 c) d'une ame-en-peine, a moins que leur maitre ne reussisse test de dressage, d'equitation ou d'empathie sauvage de dd 25
* creation de rejetons : lorsqu'une ame-en-peine tue un humanoide, ce dernier devient lui-meme une ame-en-peine en 1d4 rounds. les rejetons ainsi crees sont moins puissants que les ames-en-peine normales : ils subissent un malus de -2 sur tous les lancer et tests utilisant un d20, recoivent 2 points de vie de moins par dv et leur toucher n'inflige qu'une diminution permanente de 1d2 points de constitution. les rejetons sont sous le controle de l'ame-en-peine qui les a crees et restent ses esclaves jusqu'a ce que celle-ci meure. a ce moment-la, les malus disparaissent et ils deviennent de veritables ames-en-peine libres d'agir a leur guise. ils ne possedent aucune des capacites qu'ils avaient de leur vivant
* impuissant sous la lumiere du soleil : les ames-en-peine touchees par la lumiere du soleil ne peuvent pas attaquer et sont chancelantes
* faiblesses : impuissant sous la lumiere du soleil
* perception de la vie : les ames-en-peines peuvent reperer et localiser les creatures vivantes dans un rayon de 18 m (12 c) comme si elles possedaient la capacite de vision aveugle
* immunites : traits des morts-vivants
* diminution permanente de constitution : les creatures touchees par une attaque de contact d'ame-en-peine doivent reussir un jet de vigueur de dd 17 pour ne pas subir une diminution permanente de 1d6 points de constitution. chaque attaque de contact reussie permet a l'ame-en-peine de gagner 5 points de vie temporaires. le dd du jet de sauvegarde depend du charisme
* aura : aura surnaturelle (9 m (6 c) cases)";
"Élémentaire de l'éclair";;;;;;;;;;;;;;;"";;;;;;;;;"aerien";"tous (plan de l'air)";"aucun";"solitaire, couple ou bande (3-8)";;;;"* Source : Bestiaire 2, p.126";"* maitrise du metal : un elementaire de l'eclair gagne un bonus de +3 aux jets d'attaque si son adversaire porte une armure metallique, manie une arme en metal ou est constitue de metal (comme un golem de fer par exemple)
* saut de l'etincelle : un elementaire de l'eclair gagne un bonus de +10 aux tests de bousculade, de croc-en-jambe, de desarmement et de renversement lorsqu'il charge une creature contre laquelle sa capacite de maitrise du metal s'applique";
"Élémentaire de la boue";;;;;;;;;;;;;;;"";;;;;;;;;"terreux";"terre ferme ou milieu aquatique (plan de la terre)";"aucun";"solitaire, couple ou bande (3-8)";;;;"* Source : Bestiaire 2, p.122
* de glissement de terrain lancé sur la zone où un élémentaire de la boue se trouve le fait reculer de 9 mètres et l'étourdit pendant 1 round, à moins qu'il ne réussisse un jet de Vigueur de DD 15.";"* nage dans la pierre : un elementaire de la boue qui se deplace par creusement peut traverser la terre, le gravier et toutes les autres matieres solides meubles ou poreuses aussi facilement qu'un poisson nage dans l'eau. il ne peut pas utiliser cette capacite pour traverser une barriere solide telle qu'un mur de pierre ou de brique. il ne laisse aucun tunnel ni trou, ni meme de trace de son passage et ne produit aucune vibration. un sort
* entrave : la boue utilisee par les elementaires de la boue qui entravent une cible se dissout apres 1d3 rounds d'immersion dans l'eau";
"Élémentaire de la glace";;;;;;;;;;;;;;;"";;;;;;;;;"aquatique";"terre ferme ou milieu aquatique (plan de l'eau)";"aucun";"solitaire, couple ou bande (3-8)";;;;"* Source : Bestiaire 2, p.124";"* nage dans la glace : un elementaire de la glace qui se deplace par creusement peut traverser la glace non magique et la neige aussi facilement qu'un poisson nage dans l'eau. il ne laisse aucune trace de son passage, ni tunnel derriere lui, pas plus qu'il ne cree de vibrations. un sort de controle de l'eau lance sur une zone contenant un elementaire de la glace le projette en arriere sur 9 metres (6 c) et l'etourdit pendant 1 round a moins qu'il ne reussisse un jet de vigueur contre un dd de 15
* froid engourdissant : lorsqu'un elementaire de la glace inflige des degats de froid a une creature, celle-ci doit reussir un jet de vigueur pour ne pas etre chancelante pendant 1 round. le dd du jet de sauvegarde est indique dans le profil de l'elementaire et depend de la constitution
* vision malgre la neige : un elementaire de la glace peut voir parfaitement bien meme lorsqu'il neige. il ne subit aucune penalite aux tests de perception a cause de la neige
* marche sur la glace : cette capacite fonctionne comme le sort de pattes d'araignee mais seulement sur les surfaces gelees. l'elementaire peut se deplacer sur les surfaces gelees sans aucune penalite et il peut charger ou courir sur la glace sans devoir effectuer de test d'acrobaties";
"Élémentaire de Terre";;;;;;;;;;;;;;;"";;;;;;;;;"terreux";"quelconque (plan de la terre)";"aucun";"solitaire, couple ou bande (3-8)";;;;"";"* nage dans la terre : lorsqu'un elementaire de terre se deplace par creusement, il peut traverser la pierre, la terre et quasiment n'importe quel autre type de sol (mais pas le metal) aussi facilement que s'il etait un poisson nageant dans l'eau. s'il est protege contre les degats de feu, il peut meme traverser la lave. il ne laisse aucun tunnel et aucune ouverture dans son sillage. il ne cree pas de vibration ni aucun autre signe trahissant sa presence. un sort de glissement de terrain lance sur la zone a l'interieur de laquelle se trouve l'elementaire de terre le projette a 9 m (6 c) et l'etourdit pendant 1 round (a moins qu'il ne reussisse un jet de vigueur de dd 15)
* maitrise de la terre : lorsqu'un elementaire touche le sol et attaque une cible en contact avec le sol, il beneficie d'un bonus de +1 aux jets d'attaque et de degats. contre un adversaire volant ou dans l'eau, l'elementaire subit un malus de -4 aux jets d'attaque et de degats. ces modificateurs s'appliquent egalement lors des manoeuvres de bousculade et de renversement, que l'elementaire en soit l'initiateur ou pas. ces modificateurs ne sont pas comptes dans les profils suivants";
"Élémentaire de l'Air";;;;;;;;;;;;;;;"";;;;;;;;;"aerien";"plan de l'air";"aucun";"solitaire, couple ou bande (3-8)";;;;"";"* maitrise de l'air : les creatures volantes subissent un malus de -1 aux jets d'attaque et de degats contre un elementaire de l'air";
"Élémentaire du Feu";;;;;;;;;;;;;;;"";;;;;;;;;"igne";"quelconque (plan du feu)";"aucun";"solitaire, couple ou bande (3-8)";;;;"";"";
"Élémentaire de la glace";;;;;;;;;;;;;;;"";;;;;;;;;"igne";"tous (plan du feu)";"aucun";"solitaire, couple ou bande (3-8)";;;;"* Source : Bestiaire 2, p.128";"* flaque de lave : par une action complexe utilisable une fois par jour, un elementaire de magma peut vomir une flaque de lave qui remplit l'espace qu'il occupe sur une profondeur de 5 a 7 cm et compte comme du terrain difficile. toutes les creatures qui traversent cette flaque de lave au cours d'un deplacement subissent 2d6 points de degats de feu. ces degats se poursuivent au cours des 1d3 rounds suivant celui ou la creature est sortie de la flaque, mais ils se reduisent alors a 1d6 points de degats de feu par round. la flaque de lave se solidifie apres un nombre de rounds egal au nombre de dv de l'elementaire du magma et peut ensuite etre touchee sans danger. si le mj le decide, une flaque de lave peut aussi mettre le feu a d'autres objets
* nage dans la terre : un elementaire du magma qui se deplace par creusement peut traverser la pierre, la terre, la lave et quasiment n'importe quelle autre surface terrestre a l'exception du metal aussi facilement qu'un poisson nage dans l'eau. il ne laisse aucun tunnel ni trou sur son passage et ne produit aucune vibration mais la zone traversee reste chaude pendant 1 round et conserve une texture etrangement lisse, comme si la pierre avait ete polie. un sort de glissement de terrain lance sur la zone ou un elementaire du magma se trouve le fait reculer de 9 metres et l'etourdit pendant 1 round, a moins qu'il ne reussisse un jet de vigueur de dd 15
* combustion : le dd du pouvoir de combustion d'un elementaire du magma inclut un malus racial de -2 car leurs flammes n'atteignent pas des temperatures aussi elevees que ceux des elementaires du feu";
"Éléphant";"30";"10";"19";"2";"13";"7";"+7";"+13";"+6";"+0";"93 (11d8+44)";"17, contact 8, pris au depourvu 17 (naturelle +9, taille -2)";"3.200";"12 m (8 c)";"";;"defenses, +16 (2d8+10), coup, +16 (2d6+10)";;"pietinement (2d8+15; dd 25)";"attaque en puissance, endurance, science de la bousculade, talent (perception), vigueur surhumaine, volonte de fer";"perception +21";;"odorat, vision nocturne ; perception +21";;"plaines chaudes";"aucun";"solitaire ou troupeau (6-30)";"+8";"+20";"30 (34 contre le croc-en-jambe)";"* Source : Bestiaire p.130
* Animal de taille TG, N";"* allonge : 3 m (2 c)
* espace : 4,50 m (3 c)";
"Élasmosaure";"26";"15";"20";"2";"13";"9";"+9";"+14";"+6";"+2";"105 (10d8+60)";"20, contact 11, pris au depourvu 17 (dex +2, esquive +1, naturelle +9, taille -2)";"3.200";"6 m (4 c), nage 15 m (10 c)";"";;"morsure, +13 (2d8+12)";;;"esquive, robustesse, souplesse du serpent, vigueur surhumaine, volonte de fer";"natation +16, perception +14";;"odorat, vision nocturne ; perception +14";;"milieu aquatique, climat chaud";"aucun";"solitaire, couple ou banc (3-6)";"+7";"+17";"30 (34 contre croc-en-jambe)";"* Source : Bestiaire p.89
* Animal de taille TG, N";"* espace : 4,50 m (3 c)
* allonge : 6 m (4 c)";
